epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.1798,1.09482,0.55149,1,0.86733,0.000471372,0.000471372,0.000471372
2,88.8005,0.98705,0.59954,1,0.82888,0.000853882,0.000853882,0.000853882
3,130.154,0.65133,0.93135,1,0.35286,0.00114208,0.00114208,0.00114208
4,170.536,0.39924,0.97483,1,0.06849,0.00100459,0.00100459,0.00100459
5,211.576,0.30638,0.98856,1,0.03098,0.000863116,0.000863116,0.000863116
6,252.574,0.27782,0.98856,1,0.04805,0.000721645,0.000721645,0.000721645
7,293.579,0.24387,0.98856,1,0.05311,0.000580174,0.000580174,0.000580174
8,337.282,0.20007,0.99314,1,0.02109,0.000438703,0.000438703,0.000438703
9,379.199,0.17809,0.99542,1,0.01706,0.000297232,0.000297232,0.000297232
10,419.58,0.15328,0.99542,1,0.01215,0.000155761,0.000155761,0.000155761
